"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"time_patients","integer",895,0.586222838650023,5,1.95083798882682,1,1,NA,1.35269921205225,NA,1,4,3,0.782464040460212,4.78626116663139,-1.32238347179995,-4.04893065844949,NA,NA
"review_info","integer",890,0.588534442903375,6,2.51797752808989,2,2,NA,1.46431583918387,NA,1,5,4,0.245912835889876,1.50003280802684,-1.53064423500953,-4.67355565885923,NA,NA
"review_confidence","integer",880,0.593157651410079,6,3.80568181818182,4,4,NA,0.884560778707509,NA,1,5,4,-0.774303724444458,-4.69662102266602,0.70734657198738,2.1476596970745,NA,NA
"review_informative","integer",866,0.599630143319464,6,3.65819861431871,4,4,NA,0.964590895244626,NA,1,5,4,-0.687246776658131,-4.13538929498822,0.131542691417869,0.396220816216256,NA,NA
"review_more","integer",870,0.597780859916782,6,4.12758620689655,4,4,NA,0.801923701947442,NA,1,5,4,-0.848540096738147,-5.11768199225025,0.981411628292585,2.96289826620958,NA,NA
"review_government","integer",862,0.601479426722145,6,4.0614849187935,4,4,NA,0.859287782296276,NA,1,5,4,-0.940661545046461,-5.64722690270168,1.22821288614454,3.69100521421717,NA,NA
"language","factor",1642,0.24086916319926,3,NA,NA,1161,"nl",NA,0.414248539777254,NA,NA,NA,NA,NA,NA,NA,NA,NA
"discipline","factor",741,0.657420249653259,4,NA,NA,1422,NA,NA,0.521409409540669,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pos5","factor",837,0.613037447988904,6,NA,NA,1326,NA,NA,0.709557516818472,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pos9","factor",837,0.613037447988904,9,NA,NA,1326,NA,NA,0.821506518273004,NA,NA,NA,NA,NA,NA,NA,NA,NA
"institution","factor",880,0.593157651410079,20,NA,NA,1283,NA,NA,0.927887396694215,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kt_funds_personal_senior","numeric",1041,0.51872399445215,121,34.9154658981748,20,20,NA,49.6060689622116,NA,0,350,350,2.5393873091818,16.7483941235461,9.12997750328697,30.1368550289279,NA,NA
"kt_funds_team","numeric",1041,0.51872399445215,144,40.6013448607109,30,30,NA,48.0186217695922,NA,0,350,350,1.98483102856418,13.0908476288114,6.27566575318221,20.7151473205241,NA,NA
"kt_funds_personal_ecr","numeric",1041,0.51872399445215,132,37.6436119116234,25,25,NA,44.4319789117981,NA,0,350,350,2.32068924078105,15.3059826290923,8.90428091429446,29.3918602706668,NA,NA
"kt_funds_thematic","numeric",1041,0.51872399445215,184,58.6753121998079,30,30,NA,78.080261070085,NA,0,630,630,1.93672051075996,12.7735372639216,5.41688572475521,17.8804273873013,NA,NA
"kt_funds_thematic_co","numeric",1041,0.51872399445215,146,33.3976945244957,0,0,NA,60.1278074225969,NA,0,606,606,3.11537751074139,20.5473069054364,15.4918503160379,51.1365605157518,NA,NA
"kt_funds_small_first","numeric",1041,0.51872399445215,136,37.4744522184506,20,20,NA,50.9319972373071,NA,0,350,350,2.36156764192543,15.5755939526706,7.87935360267722,26.0087100061369,NA,NA
